code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,2013J,523857,F,West Midlands Region,HE Qualification,20-30%,0-35,0,120,Y,Pass
BBB,2013J,554243,F,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
BBB,2013J,559685,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Fail
BBB,2013J,585074,F,London Region,Lower Than A Level,40-50%,35-55,0,60,N,Fail
BBB,2013J,611268,F,North Western Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail
BBB,2013J,2229783,F,London Region,HE Qualification,0-10%,35-55,0,60,N,Fail
BBB,2014B,365488,F,Wales,A Level or Equivalent,60-70%,0-35,2,60,N,Fail
BBB,2014B,483411,F,East Midlands Region,Lower Than A Level,10-20,0-35,2,120,N,Fail
BBB,2014B,546202,F,South Region,Lower Than A Level,70-80%,0-35,1,60,N,Pass
BBB,2014B,549078,F,London Region,A Level or Equivalent,10-20,0-35,1,90,N,Fail
BBB,2014B,557351,F,South West Region,A Level or Equivalent,50-60%,35-55,1,120,N,Fail
BBB,2014J,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,1,120,N,Pass
BBB,2014J,151917,F,West Midlands Region,A Level or Equivalent,10-20,0-35,4,60,N,Pass
BBB,2014J,237913,F,North Western Region,A Level or Equivalent,20-30%,0-35,2,60,N,Pass
BBB,2014J,303165,F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
BBB,2014J,303617,F,Wales,Lower Than A Level,0-10%,35-55,1,60,N,Pass
BBB,2014J,345128,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,3,60,N,Fail
BBB,2014J,373174,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,2,60,N,Pass
BBB,2014J,391937,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
BBB,2014J,433939,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,1,60,N,Fail
BBB,2014J,439677,F,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
BBB,2014J,473095,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,3,120,N,Pass
BBB,2014J,473271,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
BBB,2014J,497074,F,East Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
BBB,2014J,505871,F,South West Region,A Level or Equivalent,0-10%,0-35,1,60,N,Fail
BBB,2014J,516434,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
BBB,2014J,521081,F,Yorkshire Region,Lower Than A Level,10-20,0-35,1,60,Y,Pass
BBB,2014J,521164,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,Y,Fail
BBB,2014J,527742,F,North Western Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail
BBB,2014J,554243,F,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Fail
BBB,2014J,559685,F,Scotland,HE Qualification,20-30%,35-55,1,60,N,Fail
BBB,2014J,560208,M,East Anglian Region,Lower Than A Level,40-50%,0-35,1,60,N,Pass
BBB,2014J,571334,F,West Midlands Region,Lower Than A Level,90-100%,35-55,0,60,N,Fail
BBB,2014J,574512,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
BBB,2014J,581118,F,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
BBB,2014J,581178,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass
BBB,2014J,582460,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass
BBB,2014J,582709,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
BBB,2014J,583775,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Pass
BBB,2014J,584509,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
BBB,2014J,584733,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Distinction
BBB,2014J,585074,F,London Region,Lower Than A Level,40-50%,35-55,1,60,N,Fail
BBB,2014J,586502,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass
BBB,2014J,586818,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,Y,Fail
BBB,2014J,588944,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
BBB,2014J,595365,F,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
BBB,2014J,596513,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass
BBB,2014J,600606,F,South Region,Lower Than A Level,90-100%,35-55,0,60,Y,Pass
BBB,2014J,603921,F,East Midlands Region,Lower Than A Level,60-70%,0-35,0,180,N,Pass
BBB,2014J,606391,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
BBB,2014J,606864,F,South East Region,HE Qualification,10-20,0-35,0,60,N,Pass
BBB,2014J,608195,F,West Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
BBB,2014J,609194,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,1,90,N,Pass
BBB,2014J,609403,F,East Midlands Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
BBB,2014J,610405,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
BBB,2014J,611241,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
BBB,2014J,611268,F,North Western Region,A Level or Equivalent,20-30%,35-55,1,60,N,Distinction
BBB,2014J,626159,F,South West Region,Lower Than A Level,60-70%,35-55,0,60,Y,Pass
BBB,2014J,630834,F,West Midlands Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass
BBB,2014J,634636,M,London Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
BBB,2014J,2229783,F,London Region,HE Qualification,0-10%,35-55,1,60,N,Pass
CCC,2014B,29820,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass
CCC,2014B,42638,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass
CCC,2014B,64296,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail
CCC,2014B,83219,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
CCC,2014B,105523,M,Scotland,HE Qualification,60-70%,35-55,0,90,N,Pass
CCC,2014B,107339,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Pass
CCC,2014B,117232,M,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass
CCC,2014B,126394,M,Wales,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
CCC,2014B,131145,M,South West Region,A Level or Equivalent,40-50%,0-35,0,90,N,Distinction
CCC,2014B,133104,M,London Region,Lower Than A Level,10-20,0-35,0,120,Y,Distinction
CCC,2014B,135330,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Fail
CCC,2014B,167791,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
CCC,2014B,172965,M,Scotland,Post Graduate Qualification,60-70%,35-55,0,150,N,Distinction
CCC,2014B,179904,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,90,N,Fail
CCC,2014B,189624,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,150,N,Pass
CCC,2014B,193163,M,Scotland,HE Qualification,70-80%,35-55,0,90,N,Fail
CCC,2014B,198902,M,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
CCC,2014B,205425,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction
CCC,2014B,206599,M,South West Region,A Level or Equivalent,90-100%,0-35,0,90,N,Fail
CCC,2014B,227192,M,London Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
CCC,2014B,231339,F,Scotland,Post Graduate Qualification,80-90%,0-35,0,60,N,Distinction
CCC,2014B,234068,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,90,N,Fail
CCC,2014B,234311,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
CCC,2014B,236620,M,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
CCC,2014B,237934,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Fail
CCC,2014B,242858,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
CCC,2014B,244977,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
CCC,2014B,247819,M,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
CCC,2014B,255310,M,East Midlands Region,HE Qualification,80-90%,0-35,0,90,N,Pass
CCC,2014B,261265,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,N,Fail
CCC,2014B,269676,M,North Western Region,Lower Than A Level,20-30%,35-55,0,90,N,Pass
CCC,2014B,279868,F,Yorkshire Region,HE Qualification,30-40%,0-35,0,120,N,Pass
CCC,2014B,282193,M,North Western Region,No Formal quals,20-30%,0-35,0,30,N,Pass
CCC,2014B,285170,M,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass
CCC,2014B,285475,M,Yorkshire Region,HE Qualification,30-40%,0-35,0,160,N,Pass
CCC,2014B,289009,M,Yorkshire Region,HE Qualification,10-20,35-55,0,150,N,Pass
CCC,2014B,298040,F,South Region,HE Qualification,80-90%,35-55,0,30,N,Pass
CCC,2014B,305876,M,Scotland,HE Qualification,50-60%,0-35,0,120,Y,Fail
CCC,2014B,319042,M,London Region,A Level or Equivalent,10-20,35-55,0,180,N,Fail
CCC,2014B,324257,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
CCC,2014B,342957,M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Fail
CCC,2014B,344367,M,North Region,Lower Than A Level,30-40%,0-35,0,90,N,Fail
CCC,2014B,345256,M,Scotland,HE Qualification,70-80%,0-35,0,30,N,Pass
CCC,2014B,348050,M,London Region,A Level or Equivalent,40-50%,0-35,0,90,N,Fail
CCC,2014B,348159,F,London Region,HE Qualification,0-10%,0-35,0,30,N,Pass
CCC,2014B,349069,M,South West Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
CCC,2014B,351775,F,Scotland,HE Qualification,40-50%,35-55,0,90,N,Pass
CCC,2014B,355143,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,30,N,Fail
CCC,2014B,356274,M,Scotland,A Level or Equivalent,10-20,0-35,0,90,N,Fail
CCC,2014B,363939,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
CCC,2014B,366310,M,North Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass
CCC,2014B,378920,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
CCC,2014B,391343,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,150,N,Fail
CCC,2014B,397506,F,South Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass
CCC,2014B,401296,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
CCC,2014B,403085,M,East Midlands Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
CCC,2014B,407818,M,South Region,HE Qualification,20-30%,35-55,0,30,N,Fail
CCC,2014B,410407,M,South Region,HE Qualification,90-100%,35-55,0,30,N,Distinction
CCC,2014B,426616,F,Scotland,HE Qualification,90-100%,0-35,0,60,Y,Fail
CCC,2014B,431014,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail
CCC,2014B,431386,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
CCC,2014B,434562,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
CCC,2014B,438796,M,South Region,Post Graduate Qualification,90-100%,35-55,0,120,N,Pass
CCC,2014B,445917,M,North Western Region,HE Qualification,90-100%,0-35,0,90,N,Distinction
CCC,2014B,445972,M,East Anglian Region,Post Graduate Qualification,90-100%,0-35,0,60,N,Distinction
CCC,2014B,465406,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
CCC,2014B,465719,M,Scotland,Lower Than A Level,0-10%,0-35,0,210,N,Fail
CCC,2014B,465843,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail
CCC,2014B,466289,M,Ireland,Lower Than A Level,60-70%,0-35,0,30,N,Pass
CCC,2014B,467230,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass
CCC,2014B,469761,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction
CCC,2014B,472087,M,East Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Pass
CCC,2014B,473965,M,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
CCC,2014B,478212,M,Scotland,HE Qualification,20-30%,0-35,0,90,N,Fail
CCC,2014B,478550,M,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
CCC,2014B,479607,M,Wales,A Level or Equivalent,20-30%,35-55,0,180,N,Fail
CCC,2014B,480929,M,South West Region,HE Qualification,60-70%,35-55,0,60,N,Distinction
CCC,2014B,483275,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass
CCC,2014B,485312,M,Scotland,HE Qualification,80-90%,0-35,0,90,N,Distinction
CCC,2014B,485374,F,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
CCC,2014B,490081,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,75,N,Pass
CCC,2014B,490587,M,Wales,Lower Than A Level,20-30%,0-35,0,120,Y,Fail
CCC,2014B,490662,M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail
CCC,2014B,494919,F,Scotland,A Level or Equivalent,10-20,0-35,0,60,Y,Pass
CCC,2014B,500006,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
CCC,2014B,502554,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Distinction
CCC,2014B,502833,M,Scotland,Lower Than A Level,30-40%,0-35,0,90,N,Fail
CCC,2014B,505767,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
CCC,2014B,507034,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass
CCC,2014B,509102,M,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass
CCC,2014B,511657,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
CCC,2014B,515046,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,Y,Pass
CCC,2014B,515774,M,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
CCC,2014B,516238,M,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction
CCC,2014B,518116,M,South Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
CCC,2014B,519589,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
CCC,2014B,522312,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass
CCC,2014B,522484,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
CCC,2014B,523061,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
CCC,2014B,524378,F,North Western Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
CCC,2014B,524386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
CCC,2014B,525332,M,London Region,Lower Than A Level,80-90%,0-35,0,60,Y,Fail
CCC,2014B,526927,M,Scotland,A Level or Equivalent,10-20,0-35,0,120,N,Pass
CCC,2014B,527771,M,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
CCC,2014B,528892,M,South West Region,A Level or Equivalent,30-40%,0-35,0,90,N,Pass
CCC,2014B,529025,M,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
CCC,2014B,529078,M,South Region,HE Qualification,60-70%,0-35,0,60,N,Fail
CCC,2014B,532020,M,Scotland,HE Qualification,30-40%,0-35,0,90,N,Pass
CCC,2014B,532531,M,London Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail
CCC,2014B,532718,M,North Western Region,HE Qualification,20-30%,35-55,0,30,N,Pass
CCC,2014B,533004,M,West Midlands Region,HE Qualification,20-30%,0-35,0,60,N,Fail
CCC,2014B,536032,M,Wales,A Level or Equivalent,20-30%,0-35,0,30,N,Fail
CCC,2014B,536170,M,North Western Region,HE Qualification,90-100%,35-55,0,90,N,Distinction
CCC,2014B,536261,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
CCC,2014B,537322,M,Scotland,A Level or Equivalent,70-80%,35-55,0,90,N,Pass
CCC,2014B,537603,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
CCC,2014B,537606,F,London Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
CCC,2014B,537658,F,Wales,Lower Than A Level,20-30%,0-35,0,90,N,Fail
CCC,2014B,540686,M,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
CCC,2014B,541003,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail
CCC,2014B,543475,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
CCC,2014B,543924,M,South Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
CCC,2014B,543948,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
CCC,2014B,544090,M,South East Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail
CCC,2014B,544594,M,London Region,A Level or Equivalent,90-100%,0-35,0,90,N,Distinction
CCC,2014B,544839,M,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction
CCC,2014B,545740,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
CCC,2014B,547413,F,North Western Region,No Formal quals,0-10%,0-35,0,90,N,Fail
CCC,2014B,548261,M,East Anglian Region,Lower Than A Level,50-60%,35-55,0,120,N,Fail
CCC,2014B,548602,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
CCC,2014B,548677,M,Ireland,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
CCC,2014B,548764,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
CCC,2014B,550092,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail
CCC,2014B,551478,M,South West Region,A Level or Equivalent,50-60%,55<=,0,60,N,Pass
CCC,2014B,551856,M,North Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
CCC,2014B,552441,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,30,N,Distinction
CCC,2014B,553280,F,South Region,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction
CCC,2014B,553655,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
CCC,2014B,554583,M,Scotland,Lower Than A Level,50-60%,0-35,0,90,N,Pass
CCC,2014B,556584,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,Pass
CCC,2014B,558122,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail
CCC,2014B,558444,F,London Region,Lower Than A Level,10-20,0-35,0,180,N,Fail
CCC,2014B,558914,F,North Western Region,A Level or Equivalent,10-20,0-35,0,90,N,Fail
CCC,2014B,559706,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,30,N,Pass
CCC,2014B,559770,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Pass
CCC,2014B,559977,M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
CCC,2014B,560114,M,North Western Region,A Level or Equivalent,10-20,0-35,0,30,Y,Pass
CCC,2014B,560311,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Distinction
CCC,2014B,560951,M,South East Region,A Level or Equivalent,80-90%,35-55,0,60,N,Fail
CCC,2014B,561363,M,Scotland,Post Graduate Qualification,80-90%,35-55,0,60,N,Pass
CCC,2014B,561559,M,South Region,HE Qualification,40-50%,35-55,0,60,N,Pass
CCC,2014B,561774,M,Scotland,A Level or Equivalent,60-70%,0-35,0,90,N,Pass
CCC,2014B,562825,M,East Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass
CCC,2014B,563046,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
CCC,2014B,563631,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,90,N,Fail
CCC,2014B,563819,M,South East Region,A Level or Equivalent,50-60%,0-35,0,90,Y,Pass
CCC,2014B,565838,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail
CCC,2014B,566185,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,120,N,Fail
CCC,2014B,566310,M,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,Pass
CCC,2014B,566428,M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction
CCC,2014B,566871,M,London Region,Lower Than A Level,10-20,0-35,0,90,N,Fail
CCC,2014B,568084,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Distinction
CCC,2014B,569080,M,London Region,A Level or Equivalent,10-20,0-35,0,30,N,Distinction
CCC,2014B,569108,M,South East Region,A Level or Equivalent,70-80%,0-35,0,30,Y,Distinction
CCC,2014B,569342,M,South Region,Lower Than A Level,70-80%,0-35,0,120,N,Fail
CCC,2014B,569609,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
CCC,2014B,570872,F,London Region,A Level or Equivalent,30-40%,0-35,0,90,Y,Pass
CCC,2014B,571595,M,Scotland,Lower Than A Level,70-80%,0-35,0,90,N,Fail
CCC,2014B,572036,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
CCC,2014B,572303,M,Scotland,HE Qualification,90-100%,0-35,0,90,N,Pass
CCC,2014B,572382,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail
CCC,2014B,572570,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
CCC,2014B,572854,F,South East Region,A Level or Equivalent,40-50%,0-35,0,90,N,Distinction
CCC,2014B,572891,M,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
CCC,2014B,573377,M,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass
CCC,2014B,573440,M,Scotland,Lower Than A Level,30-40%,0-35,0,120,N,Pass
CCC,2014B,573558,M,North Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
CCC,2014B,573696,M,London Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail
CCC,2014B,574283,M,South Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail
CCC,2014B,574529,F,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail
CCC,2014B,574551,M,Scotland,A Level or Equivalent,40-50%,0-35,0,90,N,Fail
CCC,2014B,575733,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass
CCC,2014B,576191,M,Scotland,HE Qualification,10-20,0-35,0,120,N,Fail
CCC,2014B,576383,F,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Distinction
CCC,2014B,576413,M,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction
CCC,2014B,576516,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
CCC,2014B,576780,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Distinction
CCC,2014B,577035,M,South Region,HE Qualification,90-100%,35-55,0,90,N,Distinction
CCC,2014B,577245,M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail
CCC,2014B,577414,M,Scotland,HE Qualification,0-10%,0-35,0,120,N,Pass
CCC,2014B,578450,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,120,N,Fail
CCC,2014B,578850,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,90,N,Pass
CCC,2014B,578958,M,Wales,Lower Than A Level,20-30%,35-55,0,135,N,Pass
CCC,2014B,579027,M,Scotland,HE Qualification,40-50%,0-35,0,90,N,Fail
CCC,2014B,579343,M,West Midlands Region,HE Qualification,40-50%,0-35,0,60,N,Pass
CCC,2014B,580779,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
CCC,2014B,581614,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
CCC,2014B,582087,M,Scotland,Lower Than A Level,40-50%,0-35,0,90,N,Fail
CCC,2014B,582108,M,London Region,A Level or Equivalent,10-20,0-35,0,90,N,Fail
CCC,2014B,582879,M,East Anglian Region,Lower Than A Level,40-50%,35-55,0,90,N,Pass
CCC,2014B,582950,M,Scotland,HE Qualification,30-40%,0-35,0,90,N,Distinction
CCC,2014B,583032,M,Scotland,HE Qualification,50-60%,0-35,0,60,N,Pass
CCC,2014B,583052,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
CCC,2014B,583192,F,Scotland,HE Qualification,90-100%,0-35,0,60,N,Pass
CCC,2014B,584191,M,East Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Pass
CCC,2014B,585383,M,South East Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
CCC,2014B,585393,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction
CCC,2014B,585397,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
CCC,2014B,585455,M,Scotland,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
CCC,2014B,585695,M,South West Region,A Level or Equivalent,60-70%,0-35,0,90,Y,Distinction
