id_assessment,id_student,date_submitted,is_banked,score,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
14989,514140,186,0,65.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14991,514140,60,0,100.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14992,514140,95,0,40.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14993,514140,126,0,100.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14994,514140,164,0,80.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14995,514140,189,0,80.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14984,544500,22,0,70.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14985,544500,47,0,57.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14986,544500,97,0,68.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14991,544500,60,0,80.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14992,544500,95,0,80.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14993,544500,126,0,80.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14994,544500,164,0,40.0,BBB,2013B,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail
14984,550400,18,0,75.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14985,550400,47,0,47.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14986,550400,89,0,57.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14987,550400,124,0,51.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14988,550400,159,0,59.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14989,550400,187,0,58.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14991,550400,60,0,80.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14992,550400,95,0,80.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14993,550400,126,0,80.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14994,550400,164,0,60.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14995,550400,189,0,40.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
14984,553800,18,0,51.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14985,553800,47,0,46.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14986,553800,96,0,60.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14987,553800,125,0,49.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14988,553800,159,0,48.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14989,553800,187,0,62.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14991,553800,60,0,80.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14993,553800,126,0,100.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14994,553800,164,0,40.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14995,553800,189,0,60.0,BBB,2013B,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
14996,146600,16,0,87.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
14997,146600,46,0,89.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
14998,146600,95,0,75.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
15000,146600,165,0,72.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
15003,146600,56,0,100.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
15004,146600,102,0,80.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
15005,146600,133,0,100.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
15006,146600,168,0,80.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
15007,146600,210,0,100.0,BBB,2013J,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass
14996,157060,18,0,74.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
14997,157060,50,0,76.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
14998,157060,95,0,68.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
14999,157060,130,0,67.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
15000,157060,172,0,60.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
15003,157060,56,0,60.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
15004,157060,102,0,100.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
15005,157060,133,0,80.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
15006,157060,168,0,60.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
15007,157060,210,0,40.0,BBB,2013J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
14996,387700,18,0,75.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
14997,387700,46,0,52.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
14998,387700,101,0,59.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15000,387700,165,0,58.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15001,387700,207,0,64.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15003,387700,56,0,80.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15004,387700,102,0,100.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15005,387700,133,0,100.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15006,387700,168,0,80.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
15007,387700,210,0,60.0,BBB,2013J,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
14996,517000,16,0,82.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
14997,517000,46,0,89.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
14998,517000,92,0,93.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
14999,517000,126,0,86.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15000,517000,177,0,85.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15001,517000,197,0,93.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15003,517000,56,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15004,517000,102,0,80.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15005,517000,133,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15006,517000,168,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
15007,517000,210,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,10-20,35-55,2,60,N,Distinction
14996,576600,18,0,73.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
14997,576600,47,0,65.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
14998,576600,96,0,66.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
14999,576600,131,0,69.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15000,576600,166,0,71.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15001,576600,208,0,67.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15003,576600,56,0,100.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15004,576600,102,0,100.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15005,576600,133,0,100.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15006,576600,168,0,100.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
15007,576600,210,0,80.0,BBB,2013J,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass
14996,598000,12,0,70.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
14997,598000,46,0,75.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
14998,598000,95,0,74.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
14999,598000,130,0,85.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15000,598000,172,0,86.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15001,598000,206,0,88.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15003,598000,56,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15004,598000,102,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15005,598000,138,0,80.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
15007,598000,210,0,100.0,BBB,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
14996,604200,13,0,78.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
14997,604200,42,0,68.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
14998,604200,95,0,78.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
14999,604200,130,0,85.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15000,604200,163,0,85.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15001,604200,205,0,80.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15003,604200,56,0,100.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15004,604200,102,0,100.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15005,604200,133,0,100.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15006,604200,168,0,100.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15007,604200,210,0,100.0,BBB,2013J,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
14996,607300,19,0,72.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
14997,607300,46,0,60.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
14998,607300,95,0,65.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
14999,607300,130,0,70.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15000,607300,165,0,88.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15003,607300,56,0,80.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15004,607300,102,0,80.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15005,607300,133,0,100.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15006,607300,168,0,60.0,BBB,2013J,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
14996,608000,18,0,87.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
14997,608000,57,0,87.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
14998,608000,95,0,85.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
14999,608000,131,0,65.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15000,608000,166,0,91.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15001,608000,210,0,65.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15003,608000,56,0,100.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15004,608000,102,0,80.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15005,608000,133,0,80.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15006,608000,168,0,80.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
15007,608000,210,0,100.0,BBB,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass
14996,610700,-9,0,75.0,BBB,2013J,F,South West Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
14997,610700,46,0,57.0,BBB,2013J,F,South West Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15003,610700,56,0,80.0,BBB,2013J,F,South West Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
15008,318500,10,0,79.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15009,318500,42,0,76.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15010,318500,84,0,73.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15012,318500,159,0,65.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15013,318500,193,0,63.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15015,318500,49,0,100.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15016,318500,84,0,80.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15017,318500,119,0,80.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15018,318500,154,0,40.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15019,318500,200,0,100.0,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
15020,654545,21,0,100.0,BBB,2014J,F,Scotland,HE Qualification,0-10%,35-55,0,60,N,Fail
15021,654545,49,0,62.0,BBB,2014J,F,Scotland,HE Qualification,0-10%,35-55,0,60,N,Fail
15022,654545,110,0,60.0,BBB,2014J,F,Scotland,HE Qualification,0-10%,35-55,0,60,N,Fail
15023,654545,153,0,45.0,BBB,2014J,F,Scotland,HE Qualification,0-10%,35-55,0,60,N,Fail
15020,656200,18,0,100.0,BBB,2014J,M,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Pass
15021,656200,53,0,65.0,BBB,2014J,M,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Pass
15022,656200,109,0,60.0,BBB,2014J,M,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Pass
15023,656200,165,0,68.0,BBB,2014J,M,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Pass
15024,656200,200,0,80.0,BBB,2014J,M,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Pass
15020,406000,18,0,100.0,BBB,2014J,F,South East Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
15021,406000,51,0,50.0,BBB,2014J,F,South East Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
15022,406000,107,0,65.0,BBB,2014J,F,South East Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
15023,406000,150,0,58.0,BBB,2014J,F,South East Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
15024,406000,206,0,72.0,BBB,2014J,F,South East Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
15020,620000,8,0,100.0,BBB,2014J,F,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
15021,620000,44,0,90.0,BBB,2014J,F,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
15022,620000,102,0,82.0,BBB,2014J,F,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
15023,620000,148,0,60.0,BBB,2014J,F,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
15024,620000,197,0,85.0,BBB,2014J,F,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
15020,640455,18,0,100.0,BBB,2014J,M,Ireland,A Level or Equivalent,10-20,35-55,0,60,N,Fail
15021,640455,54,0,60.0,BBB,2014J,M,Ireland,A Level or Equivalent,10-20,35-55,0,60,N,Fail
15022,640455,110,0,55.0,BBB,2014J,M,Ireland,A Level or Equivalent,10-20,35-55,0,60,N,Fail
15023,640455,152,0,54.0,BBB,2014J,M,Ireland,A Level or Equivalent,10-20,35-55,0,60,N,Fail
15024,640455,201,0,55.0,BBB,2014J,M,Ireland,A Level or Equivalent,10-20,35-55,0,60,N,Fail
15020,651655,18,0,1.0,BBB,2014J,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15021,651655,44,0,60.0,BBB,2014J,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15022,651655,109,0,65.0,BBB,2014J,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15023,651655,151,0,55.0,BBB,2014J,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
15024,651655,207,0,65.0,BBB,2014J,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
24282,526235,32,0,58.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24283,526235,102,0,32.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24285,526235,199,0,36.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24286,526235,20,0,30.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24287,526235,69,0,35.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24289,526235,209,0,35.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24291,526235,32,0,54.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24295,526235,21,0,100.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24297,526235,147,0,46.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24298,526235,219,0,29.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24299,526235,244,0,42.0,CCC,2014J,M,Yorkshire Region,HE Qualification,40-50%,35-55,1,90,N,Fail
24282,609645,32,0,44.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24283,609645,116,0,50.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24284,609645,166,0,45.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24285,609645,201,0,46.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24286,609645,20,0,30.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24287,609645,69,0,25.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24288,609645,139,0,26.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24289,609645,209,0,65.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
24290,609645,234,0,26.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
30714,609645,32,0,93.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
30715,609645,67,0,84.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
30716,609645,117,0,61.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
30717,609645,152,0,78.0,CCC,2014B,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
